"Ce","Freque","Cycles","Lower","Upper"
-35,431.1939264,9276,9263,"TMR"
-30,432.4410634,9250,9236,9263
-25,433.6918074,9223,9210,9236
-20,434.946169,9197,9184,9210
-15,436.2041585,9170,9157,9184
-10,437.4657865,9144,9130,9157
-5,438.7310635,9117,9104,9130
0,440,9091,9078,9104
5,441.2726067,9065,9052,9078
10,442.588941,9038,9025,9052
15,443.8288729,9012,8999,9025
20,445.1125537,8986,8974,8999
25,446.399944,8961,8948,8974
30,447.6910645,8935,8922,8948
35,448.985916,8909,1,8922
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,"@",,,
,"=","16MHz",,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,"Cycle",,,
,"d",,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,"Cycle",,,
,"d",,,
,"Overflow",,,
